"","Loss","ALAE","Limit","Censored"
"787",13500,700,5e+05,0
"788",13500,6096,5e+05,0
"789",13500,15302,50000,0
"790",13750,4295,1e+06,0
"791",13750,15352,3e+05,0
"792",13825,3208,1e+06,0
"793",14000,687,5e+05,0
"794",14000,2201,3e+05,0
"795",14000,3947,3e+05,0
"796",14000,8369,NA,0
"797",14000,10969,1e+06,0
"798",14500,625,NA,0
"799",14500,3072,1e+06,0
"800",14598,3077,5e+05,0
"801",14721,3959,250000,0
"802",14750,28217,NA,0
"803",14875,263,3e+05,0
"804",14983,4977,5e+05,0
"805",15000,24,5e+05,0
"806",15000,168,1e+06,0
"807",15000,480,1e+06,0
"808",15000,1103,5e+05,0
"809",15000,1830,5e+05,0
"810",15000,2007,3e+05,0
"811",15000,2072,NA,0
"812",15000,2191,NA,0
"813",15000,2194,1e+06,0
"814",15000,2475,5e+05,0
"815",15000,2561,NA,0
"816",15000,2643,5e+05,0
"817",15000,2977,250000,0
"818",15000,3003,5e+05,0
"819",15000,3036,3e+05,0
"820",15000,3183,1e+06,0
"821",15000,3324,3e+05,0
"822",15000,3429,1e+06,0
"823",15000,3525,1e+05,0
"824",15000,3598,1e+06,0
"825",15000,3689,5e+05,0
"826",15000,4012,NA,0
"827",15000,4541,1e+06,0
"828",15000,4587,3e+05,0
"829",15000,5000,3e+05,0
"830",15000,5009,5e+05,0
"831",15000,5110,1e+06,0
"832",15000,5531,5e+05,0
"833",15000,6134,5e+05,0
"834",15000,6326,1e+06,0
"835",15000,6766,1e+06,0
"836",15000,6890,1e+06,0
"837",15000,7196,1e+06,0
"838",15000,7231,3e+05,0
"839",15000,7288,5e+05,0
"840",15000,7415,3e+05,0
"841",15000,7904,5e+05,0
"842",15000,8060,3e+05,0
"843",15000,8634,5e+05,0
"844",15000,9151,5e+05,0
"845",15000,9357,5e+05,0
"846",15000,13499,1e+05,0
"847",15000,14727,5e+05,0
"848",15000,15604,3e+05,0
"849",15000,20615,1e+06,0
"850",15000,26482,5e+05,0
"851",15000,58507,1e+06,0
"852",15000,59884,1e+05,0
"853",15000,129435,1e+06,0
"854",15001,5174,3e+05,0
"855",15069,1403,3e+05,0
"856",15078,16698,5e+05,0
"857",15086,489,5e+05,0
"858",15285,7635,1e+05,0
"859",15500,1319,5e+05,0
"860",15500,2950,1e+05,0
"861",15500,3886,1e+05,0
"862",15552,6290,5e+05,0
"863",15643,13866,1e+06,0
"864",15833,2422,1e+06,0
"865",16000,4906,5e+05,0
"866",16153,3717,3e+05,0
"867",16486,6490,1e+06,0
"868",16500,1117,50000,0
"869",16500,2791,1e+05,0
"870",16500,4104,5e+05,0
"871",16500,5144,5e+05,0
"872",16500,6657,NA,0
"873",16500,8763,5e+05,0
"874",16500,15819,1e+06,0
"875",16666,12105,5e+05,0
"876",16667,971,5e+05,0
"877",16667,2333,5e+05,0
"878",16667,5643,250000,0
"879",17258,25859,NA,0
"880",17327,8706,5e+05,0
"881",17350,16096,5e+05,0
"882",17500,2226,3e+05,0
"883",17500,2520,3e+05,0
"884",17500,3000,5e+05,0
"885",17500,5936,1e+06,0
"886",17500,7525,NA,0
"887",17500,11575,5e+05,0
"888",17500,16137,5e+05,0
"889",17500,21740,250000,0
"890",17500,23586,5e+05,0
"891",17770,3032,3e+05,0
"892",18000,358,5e+05,0
"893",18000,708,NA,0
"894",18000,3100,1e+06,0
"895",18000,3419,5e+05,0
"896",18000,8242,1e+06,0
"897",18000,8775,5e+05,0
"898",18136,11034,1e+06,0
"899",18175,312,3e+05,0
"900",18333,9440,5e+05,0
"901",18358,8724,1e+05,0
"902",18444,20203,5e+05,0
"903",18500,504,5e+05,0
"904",18500,4015,5e+05,0
"905",18500,11070,5e+05,0
"906",18500,12138,50000,0
"907",18544,2441,5e+05,0
"908",18706,10557,1e+05,0
"909",18706,13576,1e+05,0
"910",18750,10747,5e+05,0
"911",18750,18458,1e+05,0
"912",19000,4602,3e+05,0
"913",19000,4870,NA,0
"914",19000,8260,NA,0
"915",19375,3333,1e+06,0
"916",19500,7088,1e+06,0
"917",19500,12569,1e+06,0
"918",19500,13674,3e+05,0
"919",19500,16744,75000,0
"920",19622,25634,1e+05,0
"921",19833,212,NA,0
"922",20000,325,1e+06,0
"923",20000,1447,5e+05,0
"924",20000,2336,1e+06,0
"925",20000,2760,5e+05,0
"926",20000,2774,NA,0
"927",20000,2863,1e+06,0
"928",20000,3895,5e+05,0
"929",20000,4137,1e+06,0
"930",20000,4436,50000,0
"931",20000,4542,2500000,0
"932",20000,5095,25000,0
"933",20000,5108,NA,0
"934",20000,5647,5e+05,0
"935",20000,8103,1e+06,0
"936",20000,9971,5e+05,0
"937",20000,10841,5e+05,0
"938",20000,11888,1e+05,0
"939",20000,12304,3e+05,0
"940",20000,13218,3e+05,0
"941",20000,14078,5e+05,0
"942",20000,14417,5e+05,0
"943",20000,14999,5e+05,0
"944",20000,16223,5e+05,0
"945",20000,16312,5e+05,0
"946",20000,17905,NA,0
"947",20000,18124,1e+05,0
"948",20000,23484,1e+06,0
"949",20000,25026,1e+06,0
"950",20000,32093,5e+05,0
"951",20000,36109,3e+05,0
"952",20000,36572,1e+06,0
"953",20000,70435,3e+05,0
"954",20800,18289,50000,0
"955",20802,12980,1e+05,0
"956",20863,8694,5e+05,0
"957",21000,1256,3e+05,0
"958",21000,2642,5e+05,0
"959",21000,2727,NA,0
"960",21000,2981,3e+05,0
"961",21000,13442,3e+05,0
"962",21013,8176,5e+05,0
"963",21110,2344,3e+05,0
"964",21136,11244,5e+05,0
"965",21274,5424,5e+05,0
"966",21557,5519,3e+05,0
"967",21666,5116,1e+06,0
"968",21678,15,NA,0
"969",21701,18825,1e+06,0
"970",21875,23155,1e+06,0
"971",21951,9348,1e+05,0
"972",22000,3483,NA,0
"973",22000,3884,50000,0
"974",22000,7728,5e+05,0
"975",22000,43454,5e+05,0
"976",22035,409,1e+06,0
"977",22105,2485,1e+06,0
"978",22500,731,NA,0
"979",22500,1179,5e+05,0
"980",22500,1720,1e+06,0
"981",22500,1997,5e+05,0
"982",22500,4892,1e+06,0
"983",22500,5250,1e+06,0
"984",22500,7151,3e+05,0
"985",22500,7309,3e+05,0
"986",22500,10366,1e+06,0
"987",22500,10991,3e+05,0
"988",22500,12170,5e+05,0
"989",22940,24987,1e+05,0
"990",22963,5675,1e+06,0
"991",23000,5036,5e+05,0
"992",23000,10622,1e+05,0
"993",23000,20237,NA,0
"994",23300,18896,1e+06,0
"995",23320,4986,1e+06,0
"996",23759,2586,1e+06,0
"997",24000,1080,1e+06,0
"998",24014,4177,5e+05,0
"999",24334,17688,1e+06,0
"1000",24357,19934,250000,0
"1001",24464,1954,3e+05,0
"1002",24570,4919,5e+05,0
"1003",25000,360,75000,0
"1004",25000,387,5e+05,0
"1005",25000,535,NA,0
"1006",25000,583,1e+06,0
"1007",25000,1084,5e+05,0
"1008",25000,1199,5e+05,0
"1009",25000,1652,3e+05,0
"1010",25000,2012,5e+05,0
"1011",25000,2588,1e+06,0
"1012",25000,3094,1e+05,0
"1013",25000,4508,5e+05,0
"1014",25000,5230,25000,1
"1015",25000,5731,750000,0
"1016",25000,5998,1e+05,0
"1017",25000,6419,NA,0
"1018",25000,7004,1e+06,0
"1019",25000,7057,50000,0
"1020",25000,7081,5e+05,0
"1021",25000,7227,5e+05,0
"1022",25000,7253,5e+05,0
"1023",25000,7920,1e+06,0
"1024",25000,9089,25000,1
"1025",25000,9093,3e+05,0
"1026",25000,9814,1e+06,0
"1027",25000,10726,5e+05,0
"1028",25000,13334,3e+05,0
"1029",25000,13948,3e+05,0
"1030",25000,15116,1e+06,0
"1031",25000,16118,NA,0
"1032",25000,18118,75000,0
"1033",25000,18155,5e+05,0
"1034",25000,18238,25000,1
"1035",25000,20694,3e+05,0
"1036",25000,20737,NA,0
"1037",25000,22020,5e+05,0
"1038",25000,22857,5e+05,0
"1039",25000,22929,1e+06,0
"1040",25000,26332,NA,0
"1041",25000,55472,3e+05,0
"1042",25000,56519,250000,0
"1043",25002,20999,1e+06,0
"1044",25045,47560,1e+05,0
"1045",25187,18409,5e+05,0
"1046",25250,4389,3e+05,0
"1047",25396,45945,5e+05,0
"1048",25507,6782,5e+05,0
"1049",25700,3332,5e+05,0
"1050",25789,33437,3e+05,0
"1051",25800,2931,5e+05,0
"1052",25883,12181,50000,0
"1053",26000,1908,5e+05,0
"1054",26000,6111,1500000,0
"1055",26075,2316,3e+05,0
"1056",26250,4966,3e+05,0
"1057",26250,55213,5e+05,0
"1058",27000,2533,5e+05,0
"1059",27000,29273,3e+05,0
"1060",27300,1839,1e+06,0
"1061",27500,2176,1e+06,0
"1062",27500,2381,5e+05,0
"1063",27500,4211,1e+06,0
"1064",27500,19887,1e+06,0
"1065",28000,3111,5e+05,0
"1066",28130,14568,5e+05,0
"1067",28281,2350,5e+05,0
"1068",28333,6695,3e+05,0
"1069",28650,8034,3e+05,0
"1070",28750,12375,NA,0
"1071",29026,6384,5e+05,0
"1072",29890,2710,5e+05,0
"1073",30000,35,1e+06,0
"1074",30000,657,1e+06,0
"1075",30000,2172,NA,0
"1076",30000,3803,5e+05,0
"1077",30000,3829,5e+05,0
"1078",30000,3996,5e+05,0
"1079",30000,4850,5e+05,0
"1080",30000,4908,1e+06,0
"1081",30000,5519,1e+06,0
"1082",30000,6365,1e+06,0
"1083",30000,7023,NA,0
"1084",30000,7439,5e+05,0
"1085",30000,7960,5e+05,0
"1086",30000,8312,1e+05,0
"1087",30000,9631,NA,0
"1088",30000,11353,5e+05,0
"1089",30000,12647,3e+05,0
"1090",30000,18728,5e+05,0
"1091",30000,20221,5e+05,0
"1092",30000,24706,5e+05,0
"1093",30000,38018,5e+05,0
"1094",30000,39831,1e+06,0
"1095",30001,7890,1e+06,0
"1096",30064,2208,5e+05,0
"1097",30750,8619,1e+06,0
"1098",30811,19332,5e+05,0
"1099",31000,1395,5e+05,0
"1100",31005,14182,1e+05,0
"1101",31250,3851,1e+05,0
"1102",31428,23004,3e+05,0
"1103",31882,7237,5e+05,0
"1104",32000,5889,5e+05,0
"1105",32000,8930,5e+05,0
"1106",32000,10364,5e+05,0
"1107",32000,39297,1e+05,0
"1108",32500,798,5e+05,0
"1109",32500,2638,1e+06,0
"1110",32500,3750,3e+05,0
"1111",32500,4404,1e+06,0
"1112",32500,7839,1e+06,0
"1113",32500,19667,5e+05,0
"1114",32500,27592,1e+05,0
"1115",33073,7845,NA,0
"1116",33333,11562,3e+05,0
"1117",33333,53048,1e+06,0
"1118",33868,6715,5e+05,0
"1119",34000,40782,NA,0
"1120",34186,8190,1e+06,0
"1121",34190,10853,1e+05,0
"1122",34625,23407,1e+05,0
"1123",34997,6681,1e+06,0
"1124",35000,1330,1e+06,0
"1125",35000,1577,1e+06,0
"1126",35000,2442,3e+05,0
"1127",35000,3577,1e+05,0
"1128",35000,4500,3e+05,0
"1129",35000,4541,1e+05,0
"1130",35000,5553,1e+06,0
"1131",35000,10112,5e+05,0
"1132",35000,17118,1e+06,0
"1133",35000,19397,3e+05,0
"1134",35000,20399,NA,0
"1135",35000,25962,1e+06,0
"1136",35000,46953,5e+05,0
"1137",35000,81128,5e+05,0
"1138",35104,7570,5e+05,0
"1139",36573,3242,5e+05,0
"1140",37500,6946,1e+06,0
"1141",37749,16290,5e+05,0
"1142",37886,3128,1e+06,0
"1143",37936,15550,3e+05,0
"1144",38065,6892,5e+05,0
"1145",38200,70922,5e+05,0
"1146",38696,78345,5e+05,0
"1147",38843,7883,5e+05,0
"1148",38998,3013,5e+05,0
"1149",39060,444,5e+05,0
"1150",40000,2019,NA,0
"1151",40000,3502,3e+05,0
"1152",40000,4440,NA,0
"1153",40000,9066,3e+05,0
"1154",40000,10177,1e+06,0
"1155",40000,10747,5e+05,0
"1156",40000,15706,1e+06,0
"1157",40000,21083,5e+05,0
"1158",40000,31532,1e+05,0
"1159",40000,44088,3e+05,0
"1160",40000,66524,5e+05,0
"1161",40052,4397,NA,0
"1162",40461,1469,NA,0
"1163",40500,617,1e+05,0
"1164",41000,20098,3e+05,0
"1165",41807,17560,1e+06,0
"1166",41845,14127,3e+05,0
"1167",42000,7872,5e+05,0
"1168",42500,88534,5e+05,0
"1169",42717,14107,3e+05,0
"1170",43000,8392,5e+05,0
"1171",43000,29307,5e+05,0
"1172",43500,8007,3e+05,0
"1173",43500,12177,5e+05,0
"1174",44887,2178,NA,0
"1175",45000,1182,1e+06,0
"1176",45000,1820,5e+05,0
"1177",45000,3009,5e+05,0
"1178",45000,4941,3e+05,0
"1179",45000,7735,5e+05,0
"1180",45000,9134,NA,0
"1181",45000,9250,5e+05,0
"1182",45000,10411,1e+06,0
"1183",45000,17557,250000,0
"1184",45000,19167,1e+06,0
"1185",45000,21841,1e+05,0
"1186",45000,23088,50000,0
"1187",45000,37529,1e+06,0
"1188",45666,5103,5e+05,0
"1189",45955,3069,3e+05,0
"1190",46000,20440,5e+05,0
"1191",46250,18874,1e+06,0
"1192",47370,11834,3e+05,0
"1193",47500,434,1e+06,0
"1194",47500,815,NA,0
"1195",47500,2238,3e+05,0
"1196",47500,4956,NA,0
"1197",47500,5013,5e+05,0
"1198",47500,12856,1e+06,0
"1199",47500,42966,5e+05,0
"1200",48000,3562,5e+05,0
"1201",48349,50611,5e+05,0
"1202",49050,17567,5e+05,0
"1203",49412,77477,NA,0
"1204",50000,55,50000,1
"1205",50000,480,NA,0
"1206",50000,500,5e+05,0
"1207",50000,1636,1e+05,0
"1208",50000,2165,1e+06,0
"1209",50000,2280,50000,1
"1210",50000,2809,5e+05,0
"1211",50000,2881,3e+05,0
"1212",50000,2985,NA,0
"1213",50000,3048,NA,0
"1214",50000,3403,5e+05,0
"1215",50000,3565,5e+05,0
"1216",50000,3634,50000,1
"1217",50000,4094,50000,1
"1218",50000,4292,50000,1
"1219",50000,5441,5e+05,0
"1220",50000,5974,5e+05,0
"1221",50000,7669,5e+05,0
"1222",50000,8726,50000,1
"1223",50000,9231,1e+06,0
"1224",50000,9609,5e+05,0
"1225",50000,10775,1e+06,0
"1226",50000,11259,5e+05,0
"1227",50000,11725,50000,1
"1228",50000,12210,5e+05,0
"1229",50000,12344,3e+05,0
"1230",50000,15687,3e+05,0
"1231",50000,16303,1e+06,0
"1232",50000,17768,1e+05,0
"1233",50000,25661,5e+05,0
"1234",50000,25922,5e+05,0
"1235",50147,21547,5e+05,0
"1236",50176,15000,1e+06,0
"1237",50500,2606,3e+05,0
"1238",50899,18172,1e+05,0
"1239",51015,6445,5e+05,0
"1240",51085,5485,1e+06,0
"1241",52500,11333,5e+05,0
"1242",54000,913,3e+05,0
"1243",54250,8312,1e+05,0
"1244",55000,830,3e+05,0
"1245",55000,2128,NA,0
"1246",55000,22981,5e+05,0
"1247",55000,24889,5e+05,0
"1248",55000,29327,5e+05,0
"1249",55651,23391,1e+06,0
"1250",56057,48076,5e+05,0
"1251",56062,210,3e+05,0
"1252",57000,14709,5e+05,0
"1253",57500,10983,5e+05,0
"1254",57500,15484,3e+05,0
"1255",57808,38341,3e+05,0
"1256",58064,11863,5e+05,0
"1257",58101,12691,3e+05,0
"1258",59232,1108,5e+05,0
"1259",60000,2438,1e+06,0
"1260",60000,4095,NA,0
"1261",60000,4519,1e+05,0
"1262",60000,4560,1e+06,0
"1263",60000,4762,1e+06,0
"1264",60000,6118,5e+05,0
"1265",60000,9812,NA,0
"1266",60000,42230,5e+05,0
"1267",60087,2580,1e+06,0
"1268",60250,501863,5e+05,0
"1269",62079,17280,1e+06,0
"1270",62500,12750,1e+06,0
"1271",62959,27738,5e+05,0
"1272",63000,4881,3e+05,0
"1273",65000,559,5e+05,0
"1274",65000,5534,1e+06,0
"1275",65000,6756,5e+05,0
"1276",65000,13762,3e+05,0
"1277",65544,27671,5e+05,0
"1278",65613,13319,5e+05,0
"1279",66933,19458,5e+05,0
"1280",67500,25767,5e+05,0
"1281",67500,160581,1e+06,0
"1282",70000,1900,5e+05,0
"1283",70000,2333,1e+05,0
"1284",70000,4555,3e+05,0
"1285",70000,14253,1e+06,0
"1286",70000,14878,3e+05,0
"1287",70000,22114,250000,0
"1288",70000,39247,5e+05,0
"1289",70001,7177,5e+05,0
"1290",71000,40,3e+05,0
"1291",71459,4633,1e+05,0
"1292",71710,2756,3e+05,0
"1293",72000,4966,1e+05,0
"1294",72500,799,1e+06,0
"1295",73000,13391,5e+05,0
"1296",73000,15756,5e+05,0
"1297",73157,20495,3e+05,0
"1298",73614,214,5e+05,0
"1299",74700,16063,3e+05,0
"1300",74970,12608,NA,0
"1301",75000,574,NA,0
"1302",75000,3451,5e+05,0
"1303",75000,5542,5e+05,0
"1304",75000,6125,3e+06,0
"1305",75000,6833,1e+06,0
"1306",75000,11877,3e+05,0
"1307",75000,12851,75000,1
"1308",75000,15913,1e+06,0
"1309",75000,17236,5e+05,0
"1310",75000,17687,250000,0
"1311",75000,19213,NA,0
"1312",75000,23566,1e+05,0
"1313",75000,26232,1e+06,0
"1314",75000,30401,5e+05,0
"1315",75000,36703,5e+05,0
"1316",75000,46494,5e+05,0
"1317",75000,72060,5e+05,0
"1318",76100,1936,5e+05,0
"1319",76991,25949,5e+05,0
"1320",80000,4863,5e+05,0
"1321",80000,5985,1e+06,0
"1322",80000,16731,1e+06,0
"1323",82500,16452,5e+05,0
"1324",83500,8072,5e+05,0
"1325",84000,4730,1e+06,0
"1326",85000,18284,1e+05,0
"1327",86311,37711,5e+05,0
"1328",86667,5792,1e+06,0
"1329",87500,16677,3e+05,0
"1330",88000,2908,5e+05,0
"1331",88803,5203,1e+06,0
"1332",90000,3367,1e+06,0
"1333",90000,3764,5e+05,0
"1334",90000,5097,5e+05,0
"1335",90000,6959,3e+05,0
"1336",90451,18232,3e+05,0
"1337",92317,12965,1e+06,0
"1338",92522,60435,1e+06,0
"1339",93000,31812,5e+05,0
"1340",93868,89826,3e+05,0
"1341",95000,12398,5e+05,0
"1342",95963,14008,1e+06,0
"1343",97000,8811,1e+06,0
"1344",97000,18919,5e+05,0
"1345",98087,3944,5e+05,0
"1346",98844,12644,5e+05,0
"1347",99632,6431,5e+06,0
"1348",99991,22092,3e+05,0
"1349",1e+05,557,1e+05,1
"1350",1e+05,1416,5e+05,0
"1351",1e+05,2287,1e+06,0
"1352",1e+05,4842,1e+05,1
"1353",1e+05,7270,1e+05,1
"1354",1e+05,10312,1e+06,0
"1355",1e+05,12815,1e+05,1
"1356",1e+05,13820,NA,0
"1357",1e+05,15268,3e+05,0
"1358",1e+05,17550,3e+05,0
"1359",1e+05,21166,250000,0
"1360",1e+05,22706,5e+05,0
"1361",1e+05,25034,5e+05,0
"1362",1e+05,25256,5e+05,0
"1363",1e+05,28013,1e+05,1
"1364",1e+05,30149,1e+06,0
"1365",1e+05,34716,1e+05,1
"1366",1e+05,38516,1e+05,1
"1367",1e+05,71350,1e+05,1
"1368",1e+05,107192,3e+05,0
"1369",1e+05,211573,1e+05,1
"1370",101000,101622,5e+05,0
"1371",101276,4210,5e+05,0
"1372",101422,9513,1e+06,0
"1373",103127,60487,1e+06,0
"1374",103264,7434,5e+05,0
"1375",104518,4825,3e+05,0
"1376",104767,166893,1e+06,0
"1377",105000,1782,NA,0
"1378",105000,35055,5e+05,0
"1379",108000,9516,5e+05,0
"1380",109500,31422,5e+05,0
"1381",110000,2004,3e+05,0
"1382",110000,7475,5e+05,0
"1383",110000,12143,5e+05,0
"1384",110659,48062,1e+06,0
"1385",112000,17645,5e+05,0
"1386",115000,7571,1e+06,0
"1387",120000,89365,1e+06,0
"1388",120475,13098,5e+05,0
"1389",124999,2257,3e+05,0
"1390",125000,4249,1e+06,0
"1391",125000,10093,3e+05,0
"1392",125000,11308,1500000,0
"1393",125000,13227,1e+06,0
"1394",125000,14970,1e+06,0
"1395",125000,19671,3e+05,0
"1396",130000,46359,1e+06,0
"1397",130050,13364,5e+05,0
"1398",130555,18721,5e+05,0
"1399",135000,2229,1e+06,0
"1400",135000,42863,3e+05,0
"1401",137500,99412,5e+05,0
"1402",138133,22464,3e+05,0
"1403",140000,4698,5e+05,0
"1404",140837,10292,1e+06,0
"1405",145151,14082,1e+06,0
"1406",149750,32370,5e+05,0
"1407",150000,4773,NA,0
"1408",150000,6695,1e+06,0
"1409",150000,6945,3e+05,0
"1410",150000,12042,1e+06,0
"1411",150000,20887,5e+05,0
"1412",150000,46507,5e+05,0
"1413",150494,1588,5e+05,0
"1414",151084,35252,1e+06,0
"1415",151152,155640,5e+05,0
"1416",152744,6496,5e+05,0
"1417",153874,21354,5e+05,0
"1418",155885,4104,5e+05,0
"1419",157499,64690,5e+05,0
"1420",160300,17881,5e+05,0
"1421",161187,17601,5e+05,0
"1422",166500,21607,5e+05,0
"1423",167000,53829,1e+06,0
"1424",168751,6114,5e+05,0
"1425",170000,38276,5e+05,0
"1426",178000,1031,5e+05,0
"1427",183095,5717,5e+05,0
"1428",184925,48811,3e+05,0
"1429",187113,180615,5e+05,0
"1430",192500,46777,5e+05,0
"1431",2e+05,277,NA,0
"1432",2e+05,7846,5e+05,0
"1433",2e+05,20095,5e+05,0
"1434",2e+05,23137,1e+06,0
"1435",2e+05,27903,1e+06,0
"1436",2e+05,61709,5e+05,0
"1437",2e+05,67782,1e+06,0
"1438",200678,32414,1e+06,0
"1439",209122,25116,1e+06,0
"1440",210000,7357,NA,0
"1441",210000,63903,3e+05,0
"1442",215231,36573,1e+06,0
"1443",215303,41532,5e+05,0
"1444",225000,6603,5e+05,0
"1445",225000,12720,2e+06,0
"1446",225562,45613,1e+06,0
"1447",235000,38157,1e+06,0
"1448",244000,41946,5e+05,0
"1449",245834,63433,5e+05,0
"1450",250000,5448,NA,0
"1451",250000,24087,1e+06,0
"1452",250000,55068,5e+05,0
"1453",251981,27774,5e+05,0
"1454",260000,11875,5e+05,0
"1455",270000,10530,5e+05,0
"1456",275000,3510,3e+05,0
"1457",275000,12271,3e+05,0
"1458",275000,15748,3e+05,0
"1459",275000,29638,1e+06,0
"1460",278705,306072,5e+05,0
"1461",289146,21359,1e+06,0
"1462",289428,23086,5e+05,0
"1463",3e+05,310,3e+05,1
"1464",3e+05,9819,3e+05,1
"1465",3e+05,25373,3e+05,1
"1466",3e+05,48619,3e+05,1
"1467",3e+05,55010,5e+05,0
"1468",3e+05,62321,3e+05,1
"1469",301090,68630,5e+05,0
"1470",316694,61706,NA,0
"1471",320000,36559,5e+05,0
"1472",337500,15358,1e+06,0
"1473",365600,131678,5e+05,0
"1474",370005,56123,5e+05,0
"1475",371654,69658,5e+05,0
"1476",373915,10261,1e+06,0
"1477",375000,28384,5e+05,0
"1478",379940,25670,5e+05,0
"1479",412998,45095,5e+05,0
"1480",432500,7294,5e+05,0
"1481",445000,28192,750000,0
"1482",449663,142227,5e+05,0
"1483",465000,27272,5e+05,0
"1484",474400,160265,1e+06,0
"1485",475000,65248,5e+05,0
"1486",480529,186670,5e+05,0
"1487",496559,31738,5e+05,0
"1488",5e+05,15534,5e+05,1
"1489",5e+05,38242,5e+05,1
"1490",5e+05,49617,1e+06,0
"1491",5e+05,55080,5e+05,1
"1492",5e+05,55388,5e+05,1
"1493",5e+05,280202,5e+05,1
"1494",5e+05,467246,NA,0
"1495",750000,2940,NA,0
"1496",838701,3662,1e+06,0
"1497",854867,61239,1e+06,0
"1498",1e+06,43966,1e+06,1
"1499",1e+06,135653,1e+06,1
"1500",2173595,134743,2500000,0
